variance,skewness,curtosis,entropy,class
-0.70867,-5.5602,4.0483,0.903,1
-2.1405,-0.16762,1.321,-0.20906,1
-0.62684,-6.301,4.7843,1.106,1
-2.2261,12.5398,2.9438,-3.5258,0
0.74307,11.17,-1.3824,-4.0728,0
2.8561,6.9176,-0.79372,0.48403,0
5.3063,5.2684,-2.8904,-0.52716,0
1.742,-4.809,8.2142,-2.0659,0
3.1377,-4.1096,4.5701,0.98963,0
0.95626,2.4728,4.4578,0.21636,0
-1.8448,1.254,0.27218,-1.0728,1
5.2756,0.13863,0.12138,1.1435,0
-2.5754,-5.6574,6.103,0.65214,1
4.8077,2.2327,-0.26334,1.5534,0
1.0117,0.9022,-2.3506,0.42714,1
-2.1786,-6.4479,6.0344,-0.20777,1
1.1472,3.5985,1.9387,-0.43406,0
1.6408,4.2503,-4.9023,-2.6621,1
-1.6988,-7.1163,5.7902,0.16723,1
2.2429,-4.1427,5.2333,-0.40173,0
-2.565,-5.7899,6.0122,0.046968,1
4.4549,2.4976,1.0313,0.96894,0
1.7257,-4.4697,8.2219,-1.8073,0
-2.2173,1.4671,-0.72689,-1.1724,1
0.3223,-0.89808,8.0883,0.69222,0
0.0040545,0.62905,-0.64121,0.75817,1
0.88872,5.3449,2.045,-0.19355,0
-2.8833,1.7713,0.68946,-0.4638,1
4.0948,-2.9674,2.3689,0.75429,0
3.1541,-5.1711,6.5991,0.57455,0
0.24394,1.4733,-1.4192,-0.58535,1
-2.3211,3.166,-1.0002,-2.7151,1
-3.5359,0.30417,0.6569,-0.2957,1
-3.6227,3.9958,-0.35845,-3.9047,1
-4.0025,-13.4979,17.6772,-3.3202,1
0.0071249,8.3661,0.50781,-3.8155,0
-1.5228,-6.4789,5.7568,0.87325,1
-1.3,10.2678,-2.953,-5.8638,0
1.9572,-5.1153,8.6127,-1.4297,0
-2.0042,-9.3676,9.3333,-0.10303,1
4.1195,10.9258,-3.8929,-4.1802,0
5.504,10.3671,-4.413,-4.0211,0
3.6667,4.302,0.55923,0.33791,0
4.1038,-4.8069,3.3491,-0.49225,0
-1.3066,0.25244,0.7623,1.7758,1
3.946,6.8514,-1.5443,-0.5582,0
2.9421,7.4101,-0.97709,-0.88406,0
4.6014,5.6264,-2.1235,0.19309,0
0.68087,2.3259,4.9085,0.54998,0
0.21084,9.4359,-0.094543,-1.859,0
2.5367,2.599,2.0938,0.20085,0
4.1605,11.2196,-3.6136,-4.0819,0
5.0617,-0.35799,0.44698,0.99868,0
-3.6085,3.3253,-0.51954,-3.5737,1
4.9362,7.6046,-2.3429,-0.85302,0
-0.69879,-3.3771,4.1211,1.5043,1
2.5678,3.5136,0.61406,-0.40691,0
4.0296,2.6756,0.80685,0.71679,0
4.7114,2.0755,-0.2702,1.2379,0
3.5358,6.7086,-0.81857,0.47886,0
2.5503,-4.9518,6.3729,-0.41596,0
5.7403,-0.44284,0.38015,1.3763,0
2.6104,8.0081,-0.23592,-1.7608,0
1.0607,2.4542,2.5188,-0.17027,0
-1.5055,0.070346,6.8681,-0.50648,0
-0.37013,-5.554,4.7749,1.547,1
-1.7104,-4.778,6.2109,0.3974,1
2.0597,-0.99326,5.2119,-0.29312,0
1.3566,4.2358,2.1341,0.3211,0
0.26877,4.987,-5.1508,-6.3913,1
-3.8552,3.5219,-0.38415,-3.8608,1
2.3718,7.4908,0.015989,-1.7414,0
-1.2786,-2.4087,4.5735,0.47627,1
1.7875,4.78,-5.1362,-3.2362,1
-2.5526,-7.3625,6.9255,-0.66811,1
-2.0149,3.6874,-1.9385,-3.8918,1
-0.70346,2.957,-3.5947,-3.1457,1
-0.77995,3.2322,-3.282,-3.1004,1
0.90407,3.3708,-4.4987,-3.6965,1
2.2634,-4.4862,3.6558,-0.61251,0
-1.6029,-0.38903,1.62,1.9103,1
4.1962,0.74493,0.83256,0.753,0
-4.2249,6.2699,0.15822,-5.5457,1
2.2546,8.0992,-0.24877,-3.2698,0
0.20216,1.9182,-3.2828,-0.61768,1
4.6361,-2.6611,2.8358,1.1991,0
1.4479,-4.8794,8.3428,-2.1086,0
-2.4824,-7.3046,6.839,-0.59053,1
1.143,0.83391,5.4552,-0.56984,0
-0.59587,2.4811,-2.8673,-0.89828,1
-4.2932,3.3419,0.77258,-0.99785,1
-0.69572,8.6165,1.8419,-4.3289,0
-1.9725,2.8825,-2.3086,-2.3724,1
3.2697,-4.3414,3.6884,-0.29829,0
0.65497,5.1815,1.0673,-0.42113,0
4.8278,7.7598,-2.4491,-1.2216,0
-3.4083,4.8587,-0.76888,-4.8668,1
2.9163,10.8306,-3.3437,-4.122,0
0.030219,-1.0512,1.4024,0.77369,1
-4.1429,2.7749,0.68261,-0.71984,1
